;ANO_LETIVO;CD_DIRETORIA;NM_DIRETORIA;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3;CD_DIRETORIA_ANO
47;2023;10602;MAUA;99.69;0.29;0.02;96.79;3.02;0.19;92.61;6.71;0.68;106022023
48;2023;10101;NORTE 1;99.73;0.22;0.05;95.62;4.04;0.34;88.18;9.92;1.9;101012023
49;2023;20303;BOTUCATU;0.0;0.0;0.0;97.61;2.39;0.0;94.37;5.6;0.03;203032023
50;2023;10316;CENTRO SUL;99.46;0.53;0.01;96.69;3.07;0.24;93.2;6.14;0.66;103162023
51;2023;10702;ITAPECERICA DA SERRA;100.0;0.0;0.0;99.07;0.91;0.02;97.5;2.36;0.14;107022023
52;2023;10207;LESTE 1;99.73;0.24;0.03;97.02;2.78;0.2;89.96;9.03;1.01;102072023
53;2023;10502;SUZANO;99.64;0.34;0.02;98.13;1.79;0.08;95.17;4.7;0.13;105022023
54;2023;10402;GUARULHOS SUL;99.48;0.51;0.01;97.54;2.35;0.11;93.49;5.82;0.69;104022023
55;2023;10210;LESTE 2;99.59;0.33;0.08;97.38;2.56;0.06;92.65;7.07;0.28;102102023
56;2023;20103;SAO VICENTE;96.87;3.13;0.0;98.25;1.63;0.12;96.74;2.98;0.28;201032023
57;2023;20403;BRAGANCA PAULISTA;100.0;0.0;0.0;99.96;0.01;0.03;99.74;0.0;0.26;204032023
58;2023;20415;SUMARE;99.59;0.36;0.05;97.8;2.01;0.19;94.6;4.81;0.59;204152023
59;2023;20601;BAURU;99.48;0.52;0.0;96.92;2.85;0.23;93.87;5.28;0.85;206012023
60;2023;20701;CATANDUVA;0.0;0.0;0.0;99.48;0.52;0.0;98.01;1.96;0.03;207012023
61;2023;20801;ANDRADINA;0.0;0.0;0.0;99.44;0.55;0.01;97.92;2.03;0.05;208012023
62;2023;20901;ADAMANTINA;100.0;0.0;0.0;99.36;0.61;0.03;98.77;1.14;0.09;209012023
63;2023;20409;MOGI MIRIM;99.37;0.63;0.0;97.73;2.17;0.1;93.89;5.61;0.5;204092023
64;2023;20509;SAO CARLOS;99.8;0.2;0.0;99.13;0.87;0.0;98.19;1.7;0.11;205092023
65;2023;21006;TUPA;99.89;0.11;0.0;98.78;1.21;0.01;97.66;2.28;0.06;210062023
66;2023;20602;JAU;100.0;0.0;0.0;97.79;1.99;0.22;95.66;3.99;0.35;206022023
67;2023;20310;VOTORANTIM;100.0;0.0;0.0;98.99;0.6;0.41;97.31;0.99;1.7;203102023
68;2023;20207;JACAREI;0.0;0.0;0.0;98.42;1.5;0.08;92.06;6.99;0.95;202072023
