;ANO_LETIVO;CD_DIRETORIA;NM_DIRETORIA;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3;CD_DIRETORIA_ANO
53;2021;20205;SAO JOSE DOS CAMPOS;99.67;0.29;0.04;98.66;1.27;0.07;96.31;3.55;0.14;202052021
54;2021;10318;SUL 3;98.87;0.74;0.39;97.33;2.11;0.56;94.51;4.37;1.12;103182021
55;2021;10312;CENTRO OESTE;99.5;0.36;0.14;98.71;1.12;0.17;96.6;3.19;0.21;103122021
56;2021;21101;MIRACATU;100.0;0.0;0.0;99.79;0.15;0.06;98.72;0.86;0.42;211012021
57;2021;20305;ITAPEVA;0.0;0.0;0.0;99.9;0.1;0.0;99.87;0.13;0.0;203052021
58;2021;20909;MIRANTE DO PARANAPANEMA;100.0;0.0;0.0;99.84;0.16;0.0;99.56;0.44;0.0;209092021
59;2021;20511;TAQUARITINGA;99.97;0.03;0.0;99.8;0.18;0.02;99.67;0.26;0.07;205112021
60;2021;20803;BIRIGUI;0.0;0.0;0.0;99.78;0.17;0.05;99.23;0.75;0.02;208032021
61;2021;20311;PIRAJU;0.0;0.0;0.0;99.75;0.25;0.0;98.93;0.62;0.45;203112021
62;2021;20411;PIRASSUNUNGA;99.96;0.04;0.0;98.49;1.35;0.16;96.46;2.57;0.97;204112021
63;2021;21001;ASSIS;100.0;0.0;0.0;99.06;0.87;0.07;98.09;1.65;0.26;210012021
64;2021;20206;TAUBATE;100.0;0.0;0.0;99.26;0.54;0.2;98.26;1.56;0.18;202062021
65;2021;10104;NORTE 2;99.57;0.22;0.21;98.01;1.88;0.11;95.58;4.35;0.07;101042021
66;2021;20306;ITU;99.96;0.0;0.04;98.53;1.42;0.05;95.96;3.89;0.15;203062021
67;2021;20512;SERTAOZINHO;100.0;0.0;0.0;99.56;0.0;0.44;97.91;0.28;1.81;205122021
68;2021;21004;OURINHOS;99.03;0.48;0.49;99.19;0.28;0.53;97.95;1.38;0.67;210042021
69;2021;20506;JABOTICABAL;0.0;0.0;0.0;99.37;0.45;0.18;97.68;1.67;0.65;205062021
70;2021;20904;PRESIDENTE PRUDENTE;100.0;0.0;0.0;98.77;1.0;0.23;97.29;2.05;0.66;209042021
71;2021;20804;PENAPOLIS;100.0;0.0;0.0;99.66;0.32;0.02;99.27;0.62;0.11;208042021
72;2021;20704;JOSE BONIFACIO;100.0;0.0;0.0;99.53;0.33;0.14;98.21;1.41;0.38;207042021
73;2021;10602;MAUA;99.63;0.24;0.13;99.03;0.8;0.17;97.43;2.13;0.44;106022021
74;2021;10101;NORTE 1;99.25;0.49;0.26;97.88;2.04;0.08;94.88;4.6;0.52;101012021
75;2021;20303;BOTUCATU;0.0;0.0;0.0;98.65;1.26;0.09;97.86;1.93;0.21;203032021
76;2021;10316;CENTRO SUL;99.15;0.46;0.39;98.48;1.25;0.27;95.24;3.9;0.86;103162021
77;2021;10702;ITAPECERICA DA SERRA;100.0;0.0;0.0;99.72;0.22;0.06;98.85;0.65;0.5;107022021
78;2021;10207;LESTE 1;99.51;0.25;0.24;98.46;1.2;0.34;95.63;3.14;1.23;102072021
79;2021;10502;SUZANO;99.75;0.16;0.09;99.11;0.63;0.26;97.83;1.49;0.68;105022021
80;2021;10402;GUARULHOS SUL;99.48;0.37;0.15;98.6;1.36;0.04;96.9;2.88;0.22;104022021
81;2021;10210;LESTE 2;99.1;0.51;0.39;98.58;1.24;0.18;97.02;2.37;0.61;102102021
82;2021;20103;SAO VICENTE;99.53;0.47;0.0;98.15;1.76;0.09;96.31;3.44;0.25;201032021
83;2021;20415;SUMARE;99.88;0.1;0.02;99.04;0.72;0.24;97.39;2.01;0.6;204152021
84;2021;20403;BRAGANCA PAULISTA;100.0;0.0;0.0;99.96;0.0;0.04;99.65;0.0;0.35;204032021
85;2021;20601;BAURU;99.48;0.37;0.15;99.16;0.63;0.21;98.54;0.96;0.5;206012021
86;2021;20701;CATANDUVA;0.0;0.0;0.0;99.98;0.0;0.02;99.91;0.05;0.04;207012021
87;2021;20801;ANDRADINA;0.0;0.0;0.0;99.81;0.19;0.0;99.56;0.42;0.02;208012021
88;2021;20409;MOGI MIRIM;99.89;0.07;0.04;99.03;0.8;0.17;96.9;2.31;0.79;204092021
89;2021;20901;ADAMANTINA;75.0;25.0;0.0;99.66;0.34;0.0;99.05;0.91;0.04;209012021
90;2021;20509;SAO CARLOS;100.0;0.0;0.0;99.81;0.19;0.0;99.17;0.83;0.0;205092021
